2024-08-07 23:55:31,154 - INFO - Database connection created successfully.
2024-08-07 23:55:33,974 - INFO - Attempting to drop table `基本信息`.
2024-08-07 23:55:33,992 - INFO - Table `基本信息` created successfully with VARCHAR.
2024-08-07 23:55:39,403 - INFO - Data from `基本信息` imported successfully.
2024-08-07 23:56:50,269 - INFO - 删除D:\asl\to_my_sql\data_to_mysql\数据导出_20240807025743.xlsx成功
2024-08-08 00:13:02,260 - INFO - 成功下载数据
2024-08-08 00:13:20,619 - INFO - Database connection created successfully.
2024-08-08 00:13:24,319 - INFO - Attempting to drop table `基本信息`.
2024-08-08 00:13:24,343 - INFO - Table `基本信息` created successfully with VARCHAR.
2024-08-08 00:13:29,083 - INFO - Data from `基本信息` imported successfully.
2024-08-08 00:13:37,765 - INFO - Attempting to drop table `既往史及合并疾病`.
2024-08-08 00:13:37,767 - WARNING - Row size too large error for table `既往史及合并疾病`. Trying TEXT columns.
2024-08-08 00:13:37,784 - INFO - Table `既往史及合并疾病` created successfully with TEXT.
2024-08-08 00:13:40,906 - INFO - Data from `既往史及合并疾病` imported successfully.
2024-08-08 00:13:41,430 - INFO - Attempting to drop table `家族史`.
2024-08-08 00:13:41,470 - INFO - Table `家族史` created successfully with VARCHAR.
2024-08-08 00:13:42,194 - INFO - Data from `家族史` imported successfully.
2024-08-08 00:13:42,419 - INFO - Attempting to drop table `女性月经及生育史`.
2024-08-08 00:13:42,435 - INFO - Table `女性月经及生育史` created successfully with VARCHAR.
2024-08-08 00:13:42,556 - INFO - Data from `女性月经及生育史` imported successfully.
2024-08-08 00:13:42,728 - INFO - Attempting to drop table `疫苗接种史`.
2024-08-08 00:13:42,737 - INFO - Table `疫苗接种史` created successfully with VARCHAR.
2024-08-08 00:13:42,902 - INFO - Data from `疫苗接种史` imported successfully.
2024-08-08 00:13:43,327 - INFO - Attempting to drop table `吸烟史`.
2024-08-08 00:13:43,335 - INFO - Table `吸烟史` created successfully with VARCHAR.
2024-08-08 00:13:43,706 - INFO - Data from `吸烟史` imported successfully.
2024-08-08 00:13:44,066 - INFO - Attempting to drop table `饮酒史`.
2024-08-08 00:13:44,067 - ERROR - Error creating table `饮酒史`: 1166 (42000): Incorrect column name '您现在经常饮酒吗? '
2024-08-08 00:13:44,070 - ERROR - Error inserting row 0 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row0
2024-08-08 00:13:44,071 - ERROR - Error inserting row 1 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row1
2024-08-08 00:13:44,072 - ERROR - Error inserting row 2 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row2
2024-08-08 00:13:44,073 - ERROR - Error inserting row 3 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row3
2024-08-08 00:13:44,074 - ERROR - Error inserting row 4 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row4
2024-08-08 00:13:44,075 - ERROR - Error inserting row 5 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row5
2024-08-08 00:13:44,076 - ERROR - Error inserting row 6 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row6
2024-08-08 00:13:44,077 - ERROR - Error inserting row 7 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row7
2024-08-08 00:13:44,077 - ERROR - Error inserting row 8 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row8
2024-08-08 00:13:44,078 - ERROR - Error inserting row 9 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row9
2024-08-08 00:13:44,079 - ERROR - Error inserting row 10 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row10
2024-08-08 00:13:44,081 - ERROR - Error inserting row 11 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row11
2024-08-08 00:13:44,082 - ERROR - Error inserting row 12 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row12
2024-08-08 00:13:44,082 - ERROR - Error inserting row 13 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row13
2024-08-08 00:13:44,083 - ERROR - Error inserting row 14 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row14
2024-08-08 00:13:44,084 - ERROR - Error inserting row 15 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row15
2024-08-08 00:13:44,084 - ERROR - Error inserting row 16 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row16
2024-08-08 00:13:44,086 - ERROR - Error inserting row 17 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row17
2024-08-08 00:13:44,086 - ERROR - Error inserting row 18 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row18
2024-08-08 00:13:44,087 - ERROR - Error inserting row 19 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row19
2024-08-08 00:13:44,088 - ERROR - Error inserting row 20 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row20
2024-08-08 00:13:44,089 - ERROR - Error inserting row 21 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row21
2024-08-08 00:13:44,089 - ERROR - Error inserting row 22 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row22
2024-08-08 00:13:44,090 - ERROR - Error inserting row 23 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row23
2024-08-08 00:13:44,091 - ERROR - Error inserting row 24 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row24
2024-08-08 00:13:44,091 - ERROR - Error inserting row 25 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row25
2024-08-08 00:13:44,092 - ERROR - Error inserting row 26 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row26
2024-08-08 00:13:44,093 - ERROR - Error inserting row 27 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row27
